641 630
1 187 81
2 268 149
3 104 155
4 329 155
5 409 164
6 499 172
7 137 176
8 88 194
9 467 211
10 277 212
11 187 214
12 287 82
13 389 221
14 525 224
15 339 225
16 441 256
17 302 266
18 355 271
19 106 276
20 234 276
21 159 279
22 521 285
23 404 87
24 460 312
25 385 316
26 208 320
27 510 336
28 310 339
29 135 345
30 203 347
31 428 364
32 526 376
33 393 380
34 351 98
35 195 384
36 334 390
37 468 394
38 250 407
39 520 424
40 364 435
41 260 452
42 486 479
43 361 489
44 438 492
45 439 102
46 524 560
47 292 506
48 324 529
49 481 539
50 399 539
51 260 544
52 384 601
53 348 570
54 431 598
55 241 497
56 498 105
57 118 117
58 159 133
59 203 141
